"","Location","Transect","Quadrat","Record_location","Canopy_cover","Leaf_litter_cover","Live_plant_cover","Species","Age","Condition","Recruitment","Multi_stemmed","Height_.m.","Average_height","Height_variation","DBH","Average_DBH","DBH_variation","Cone_presence","Cone_number","Ort_number","Ort_colour","Latitude","Longitude","Year_measured","Fire_freq","Last_burn","TSF","FPC","precip"
"23","Deongwar","DB1",10,"out",NA,NA,NA,"torulosa","sapling","alive","none",0,1.11,NA,NA,NA,NA,NA,"N",0,"0",NA,-27.3177879,152.2248971,2022,3,2019,3,57.75,49.2017135620117
"24","Deongwar","DB1",10,"out",NA,NA,NA,"torulosa","sapling","alive","none",0,1.19,NA,NA,NA,NA,NA,"N",0,"0",NA,-27.3177879,152.2248971,2022,3,2019,3,57.75,49.2017135620117
"25","Deongwar","DB1",10,"out",NA,NA,NA,"torulosa","sapling","alive","none",0,1.14,NA,NA,NA,NA,NA,"N",0,"0",NA,-27.3177879,152.2248971,2022,3,2019,3,57.75,49.2017135620117
"26","Deongwar","DB1",10,"out",NA,NA,NA,"torulosa","sapling","alive","none",0,1.18,NA,NA,NA,NA,NA,"N",0,"0",NA,-27.3177879,152.2248971,2022,3,2019,3,57.75,49.2017135620117
"27","Deongwar","DB1",10,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.62,NA,NA,NA,NA,NA,"N",0,"0",NA,-27.3177879,152.2248971,2022,3,2019,3,57.75,49.2017135620117
"28","Deongwar","DB1",10,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.76,NA,NA,NA,NA,NA,"N",0,"0",NA,-27.3177879,152.2248971,2022,3,2019,3,57.75,49.2017135620117
"29","Deongwar","DB1",10,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.34,NA,NA,NA,NA,NA,"N",0,"0",NA,-27.3177879,152.2248971,2022,3,2019,3,57.75,49.2017135620117
"30","Deongwar","DB1",10,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.46,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2248971,2022,3,2019,3,57.75,49.2017135620117
"31","Deongwar","DB1",10,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.93,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2248971,2022,3,2019,3,57.75,49.2017135620117
"32","Deongwar","DB1",10,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.75,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2248971,2022,3,2019,3,57.75,49.2017135620117
"33","Deongwar","DB1",10,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.32,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2248971,2022,3,2019,3,57.75,49.2017135620117
"34","Deongwar","DB1",10,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.59,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2248971,2022,3,2019,3,57.75,49.2017135620117
"35","Deongwar","DB1",10,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.49,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2248971,2022,3,2019,3,57.75,49.2017135620117
"36","Deongwar","DB1",10,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.5,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2248971,2022,3,2019,3,57.75,49.2017135620117
"37","Deongwar","DB1",20,"in",NA,NA,NA,"torulosa","seedling","alive","none",0,0.42,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"38","Deongwar","DB1",20,"in",NA,NA,NA,"torulosa","seedling","alive","none",0,0.49,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"39","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.63,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"40","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.93,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"41","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.54,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"42","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.67,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"43","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.56,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"44","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.71,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"45","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.58,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"46","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.62,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"47","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.49,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"48","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.48,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"49","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.51,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"50","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.52,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"51","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.53,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"52","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.81,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"53","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.74,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"54","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.65,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"55","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.34,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"56","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.53,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"57","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.62,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"58","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.5,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"59","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.43,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"60","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.7,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"61","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.95,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"62","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.69,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"63","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","sapling","alive","none",0,1.28,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"64","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.8,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"65","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.99,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"66","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.74,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"67","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.55,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"68","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.84,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"69","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.75,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"70","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","mature","dead","none",0,12,NA,NA,48,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"71","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","sapling","alive","none",0,1.5,NA,NA,6.5,NA,NA,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"72","Deongwar","DB1",20,"out",NA,NA,NA,"torulosa","sapling","alive","basal",1,2.5,1.78,0.3952,1.14,1.432,0.075843,"N",0,NA,NA,-27.3177879,152.2247954,2022,3,2019,3,56.2666664123535,49.2017135620117
"73","Deongwar","DB1",30,"in",NA,NA,NA,"torulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.8388900756836,49.2017135620117
"74","Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.53,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.8388900756836,49.2017135620117
"75","Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.84,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.8388900756836,49.2017135620117
"76","Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.75,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.8388900756836,49.2017135620117
"77","Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.74,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.8388900756836,49.2017135620117
"78","Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.81,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.8388900756836,49.2017135620117
"79","Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.59,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.8388900756836,49.2017135620117
"80","Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.6,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.8388900756836,49.2017135620117
"81","Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.83,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.8388900756836,49.2017135620117
"82","Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.83,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.8388900756836,49.2017135620117
"83","Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","mature","dead","basal",1,1.97,3.165,2.85605,1.05,1.75,0.98,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.8388900756836,49.2017135620117
"84","Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","mature","dead","basal",1,1.74,1.855,0.02645,0.573,1.4325,2.7542045,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.8388900756836,49.2017135620117
"85","Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","mature","dead","basal",1,2,2.77,2.7598,0.764,1.54375,2.57791825,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.8388900756836,49.2017135620117
"86","Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","sapling","dead","none",0,2.66,NA,NA,6,NA,NA,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.8388900756836,49.2017135620117
"87","Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","sapling","dead","basal",1,2.2,1.6325,0.428491667,1.273,0.848333333,0.236380333,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.8388900756836,49.2017135620117
"88","Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","mature","alive","none",0,3.12,NA,NA,2.642,NA,NA,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.8388900756836,49.2017135620117
"89","Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","mature","dead","basal",1,2.27,2.285,0.00045,2.132,3.0075,1.5330005,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.8388900756836,49.2017135620117
"90","Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","Sapling","alive","none",0,2.2,NA,NA,0.955,NA,NA,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.8388900756836,49.2017135620117
"91","Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","mature","dead","basal",1,2.58,2.47,0.0163,2.546,1.856666667,1.122010333,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.8388900756836,49.2017135620117
"92","Deongwar","DB1",30,"out",NA,NA,NA,"torulosa","mature","dead","basal",1,3.4,2.392,0.52787,1.592,1.7024,2.5660283,"N",0,NA,NA,-27.3177847,152.2246938,2022,3,2019,3,58.8388900756836,49.2017135620117
"93","Deongwar","DB1",40,"in",NA,NA,NA,"torulosa","seedling","alive","none",0,0.72,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"94","Deongwar","DB1",40,"in",NA,NA,NA,"torulosa","seedling","alive","none",0,0.84,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"95","Deongwar","DB1",40,"in",NA,NA,NA,"torulosa","seedling","alive","none",0,0.67,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"96","Deongwar","DB1",40,"in",NA,NA,NA,"torulosa","seedling","alive","none",0,0.96,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"97","Deongwar","DB1",40,"in",NA,NA,NA,"torulosa","sapling","alive","none",0,1.43,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"98","Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.73,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"99","Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.8,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"100","Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.8,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"101","Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.8,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"102","Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.73,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"103","Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.78,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"104","Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.47,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"105","Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.76,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"106","Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.79,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"107","Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.84,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"108","Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","mature","alive","basal",1,2.28,1.2,2.3328,13.369,13.369,0,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"109","Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","sapling","alive","none",0,1.1,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"110","Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","sapling","alive","none",0,1.28,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"111","Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","sapling","alive","none",0,1.15,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"112","Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","sapling","alive","none",0,1.04,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"113","Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.54,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"114","Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.79,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"115","Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.92,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"116","Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.5,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"117","Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.4,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"118","Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.5,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"119","Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.68,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"120","Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.82,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
"121","Deongwar","DB1",40,"out",NA,NA,NA,"torulosa","seedling","alive","none",0,0.89,NA,NA,NA,NA,NA,"N",0,NA,NA,-27.317772,152.2245911,2022,3,2019,3,58.8388900756836,49.2017135620117
